검색,순번,한자,품사,설명,링크
발,1,,명사, 사람이나 동물의 다리 맨 끝부분.,https://stdict.korean.go.kr//search/searchView.do?word_no=132767&searchKeywordTo=3
발,2,,명사, 나무 나이테의 굵기.,https://stdict.korean.go.kr//search/searchView.do?word_no=132544&searchKeywordTo=3
발,3,,명사, 가늘고 긴 대를 줄로 엮거나 줄 따위를 여러 개 나란히 늘어뜨려 만든 물건. 주로 무엇을 가리는 데 쓴다.,https://stdict.korean.go.kr//search/searchView.do?word_no=429933&searchKeywordTo=3
발,4,,명사, 새로 생긴 나쁜 버릇이나 관례.,https://stdict.korean.go.kr//search/searchView.do?word_no=132545&searchKeywordTo=3
발,5,,명사, 실이나 국수 따위의 가늘고 긴 물체의 가락.,https://stdict.korean.go.kr//search/searchView.do?word_no=132546&searchKeywordTo=3
발,6,,명사, 남의 비밀을 캐내어 다른 사람에게 넌지시 알려 주는 짓.=발쇠.,https://stdict.korean.go.kr//search/searchView.do?word_no=132547&searchKeywordTo=3
발,7,,의존 명사, 길이의 단위. 한 발은 두 팔을 양옆으로 펴서 벌렸을 때 한쪽 손끝에서 다른 쪽 손끝까지의 길이이다.,https://stdict.korean.go.kr//search/searchView.do?word_no=429934&searchKeywordTo=3
발,8,,명사,『음악』 → 바라.,https://stdict.korean.go.kr//search/searchView.do?word_no=132548&searchKeywordTo=3
발,9,(發),의존 명사, 총알 포탄 화살 따위를 세는 단위.,https://stdict.korean.go.kr//search/searchView.do?word_no=430707&searchKeywordTo=3
발,10,(發),없음, ‘발하다’의 어근.,https://stdict.korean.go.kr//search/searchView.do?word_no=132549&searchKeywordTo=3
